Sliding Window Attention is enabled but not implemented for `sdpa`; unexpected results may be encountered.
======================================================================
Activation Analysis: Qwen2.5-32B
======================================================================
Model type: qwen2, Layers: 64, Hidden: 5120
Loading model from /root/paddlejob/workspace/env_run/clx/models/Qwen2.5/Qwen2.5-32B ...
Model files size: 61.0 GB
Loading checkpoint shards:   0%|          | 0/17 [00:00<?, ?it/s]Loading checkpoint shards:   6%|▌         | 1/17 [00:01<00:26,  1.64s/it]Loading checkpoint shards:  12%|█▏        | 2/17 [00:03<00:23,  1.57s/it]Loading checkpoint shards:  18%|█▊        | 3/17 [00:04<00:21,  1.55s/it]Loading checkpoint shards:  24%|██▎       | 4/17 [00:06<00:20,  1.55s/it]Loading checkpoint shards:  29%|██▉       | 5/17 [00:07<00:19,  1.60s/it]Loading checkpoint shards:  35%|███▌      | 6/17 [00:09<00:17,  1.63s/it]Loading checkpoint shards:  41%|████      | 7/17 [00:11<00:16,  1.60s/it]Loading checkpoint shards:  47%|████▋     | 8/17 [00:12<00:14,  1.63s/it]Loading checkpoint shards:  53%|█████▎    | 9/17 [00:14<00:13,  1.65s/it]Loading checkpoint shards:  59%|█████▉    | 10/17 [00:16<00:11,  1.66s/it]Loading checkpoint shards:  65%|██████▍   | 11/17 [00:17<00:09,  1.62s/it]Loading checkpoint shards:  71%|███████   | 12/17 [00:19<00:07,  1.58s/it]Loading checkpoint shards:  76%|███████▋  | 13/17 [00:20<00:06,  1.58s/it]Loading checkpoint shards:  82%|████████▏ | 14/17 [00:22<00:04,  1.55s/it]Loading checkpoint shards:  88%|████████▊ | 15/17 [00:23<00:03,  1.56s/it]Loading checkpoint shards:  94%|█████████▍| 16/17 [00:25<00:01,  1.54s/it]Loading checkpoint shards: 100%|██████████| 17/17 [00:26<00:00,  1.47s/it]Loading checkpoint shards: 100%|██████████| 17/17 [00:26<00:00,  1.57s/it]
Loaded on single GPU (cuda:0)
Input device: cuda:0
Loading data from /root/paddlejob/workspace/env_run/clx/datasets/eval_diverse_5k_qwen2.5.jsonl ...
Loaded 2000 samples (lengths: min=136, max=4715, avg=3392)
Created 500 batches (batch_size=4, padding ratio=0.1%)
Registered 258 hooks
Running forward passes...
  Batch 1/500 done
  Batch 20/500 done
  Batch 40/500 done
  Batch 60/500 done
  Batch 80/500 done
  Batch 100/500 done
  Batch 120/500 done
  Batch 140/500 done
  Batch 160/500 done
  Batch 180/500 done
  Batch 200/500 done
  Batch 220/500 done
  Batch 240/500 done
  Batch 260/500 done
  Batch 280/500 done
  Batch 300/500 done
  Batch 320/500 done
  Batch 340/500 done
  Batch 360/500 done
  Batch 380/500 done
  Batch 400/500 done
  Batch 420/500 done
  Batch 440/500 done
  Batch 460/500 done
  Batch 480/500 done
  Batch 500/500 done
Forward passes complete.

======================================================================
Hidden State Activation Progression — Qwen2.5-32B
======================================================================
Layer           RMS    AbsMean        Std        Max        Min
------------------------------------------------------------
0            0.5513     0.3109     0.5512      27.00     -23.62
1            0.6498     0.3642     0.6498      86.00     -78.00
2            0.7448     0.4079     0.7448     128.00    -123.00
3            0.9035     0.4733     0.9035     139.00    -135.00
4            4.3274     0.5724     4.3273   12288.00  -12416.00
5            6.6822     0.6622     6.6822   18048.00  -18304.00
6            7.4138     0.7458     7.4138   19840.00  -20224.00
7            7.4392     0.8244     7.4392   19840.00  -20224.00
8            7.5036     0.8878     7.5036   19968.00  -20352.00
9            7.5493     0.9884     7.5493   19968.00  -20352.00
10           7.6834     1.1215     7.6834   20224.00  -20480.00
11           7.7328     1.2104     7.7328   20224.00  -20480.00
12           7.7720     1.2672     7.7720   20352.00  -20480.00
13           7.7871     1.3010     7.7871   20352.00  -20480.00
14           7.8017     1.3463     7.8017   20352.00  -20480.00
15           7.8124     1.3751     7.8124   20352.00  -20480.00
16           7.8209     1.4060     7.8209   20352.00  -20480.00
17           7.8315     1.4340     7.8315   20352.00  -20480.00
18           7.8424     1.4592     7.8424   20352.00  -20480.00
19           7.8559     1.4911     7.8559   20352.00  -20480.00
20           7.8744     1.5307     7.8744   20352.00  -20480.00
21           7.8848     1.5546     7.8848   20352.00  -20480.00
22           7.9101     1.5849     7.9101   20480.00  -20480.00
23           7.9251     1.6116     7.9251   20480.00  -20480.00
24           7.9432     1.6482     7.9432   20480.00  -20480.00
25           7.9665     1.7016     7.9665   20480.00  -20480.00
26           7.9803     1.7299     7.9802   20480.00  -20480.00
27           7.9937     1.7738     7.9937   20480.00  -20480.00
28           7.9985     1.7896     7.9985   20480.00  -20480.00
29           8.0196     1.8287     8.0196   20480.00  -20480.00
30           8.0398     1.8521     8.0398   20480.00  -20480.00
31           8.0687     1.8794     8.0686   20480.00  -20480.00
32           8.0680     1.8438     8.0680   20480.00  -20480.00
33           8.0776     1.8159     8.0776   20608.00  -20480.00
34           8.0813     1.8073     8.0813   20608.00  -20480.00
35           8.1344     1.8098     8.1344   20736.00  -20608.00
36           8.1334     1.7917     8.1334   20736.00  -20608.00
37           8.1710     1.7784     8.1710   20864.00  -20608.00
38           8.3678     1.7844     8.3678   21120.00  -20864.00
39           8.4394     1.8002     8.4394   21248.00  -20992.00
40           8.5244     1.8365     8.5244   21376.00  -21120.00
41           8.5822     1.8969     8.5822   21504.00  -21120.00
42           8.6749     1.9290     8.6749   21632.00  -21248.00
43           8.8051     2.0064     8.8051   21632.00  -21248.00
44           8.8736     2.0786     8.8736   21632.00  -21248.00
45           8.9793     2.2263     8.9793   21632.00  -21248.00
46           9.1109     2.3659     9.1109   21632.00  -21248.00
47           9.2931     2.5537     9.2931   21632.00  -21248.00
48           9.4215     2.7602     9.4215   21632.00  -21248.00
49           9.6611     3.0384     9.6611   21632.00  -21248.00
50          10.0451     3.4014    10.0451   21632.00  -21248.00
