======================================================================
Top-5 Activation Analysis: Qwen3-1.7B
======================================================================
Model type: qwen3, Layers: 28, Hidden: 2048
Loading model from /root/paddlejob/workspace/env_run/clx/models/Qwen3/Qwen3-1.7B ...
Model files size: 3.8 GB
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:01<00:01,  1.52s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.33it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.15it/s]
Loaded on single GPU (cuda:0)
Input device: cuda:0
Loading data from /root/paddlejob/workspace/env_run/clx/datasets/eval_diverse_5k_qwen3.jsonl ...
Loaded 2000 samples (lengths: min=1837, max=5358, avg=3527)
Created 63 batches (batch_size=32, padding ratio=0.6%)
Registered 86 hooks
Running forward passes...
  Batch 1/63 done
  Batch 20/63 done
  Batch 40/63 done
  Batch 60/63 done
Forward passes complete.

======================================================================
Top-5 Absolute Activation Values — Qwen3-1.7B
======================================================================
Layer    Component          Top5 AbsMean Top5 Values
--------------------------------------------------------------------------------
0        hidden                    20.82 [24.6, 22.9, 18.9, 18.9, 18.9]
0        mlp_output                16.43 [21.4, 18.4, 14.1, 14.1, 14.1]
0        attn_output                9.21 [9.2, 9.2, 9.2, 9.2, 9.2]
1        hidden                    89.00 [98.0, 91.0, 89.5, 87.5, 79.0]
1        mlp_output                85.00 [93.0, 88.0, 85.5, 83.5, 75.0]
1        attn_output                4.43 [4.5, 4.4, 4.4, 4.4, 4.4]
2        hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
2        mlp_output             14054.40 [14528.0, 14272.0, 13824.0, 13824.0, 13824.0]
2        attn_output               16.80 [16.9, 16.9, 16.8, 16.8, 16.8]
3        hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
3        mlp_output                12.29 [12.7, 12.6, 12.2, 12.0, 12.0]
3        attn_output                6.97 [7.1, 7.1, 7.0, 6.9, 6.8]
4        hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
4        mlp_output                12.26 [12.4, 12.4, 12.3, 12.1, 12.1]
4        attn_output               11.74 [11.9, 11.9, 11.7, 11.6, 11.6]
5        hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
5        mlp_output                20.12 [20.8, 20.8, 19.9, 19.6, 19.6]
5        attn_output                8.72 [9.0, 8.8, 8.6, 8.6, 8.6]
6        hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
6        mlp_output                18.60 [19.9, 19.1, 18.0, 18.0, 18.0]
6        attn_output               11.24 [11.3, 11.2, 11.2, 11.2, 11.2]
7        hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
7        mlp_output                27.10 [28.4, 28.2, 27.2, 26.4, 25.2]
7        attn_output               14.01 [14.9, 14.7, 13.8, 13.4, 13.2]
8        hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
8        mlp_output                35.10 [38.0, 35.5, 34.5, 33.8, 33.8]
8        attn_output               19.95 [20.4, 20.1, 20.0, 19.6, 19.6]
9        hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
9        mlp_output                27.85 [29.1, 28.6, 27.8, 27.1, 26.6]
9        attn_output               33.65 [34.0, 33.8, 33.8, 33.5, 33.2]
10       hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
10       mlp_output                41.75 [43.5, 41.8, 41.5, 41.0, 41.0]
10       attn_output               24.73 [25.8, 24.8, 24.5, 24.4, 24.2]
11       hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
11       mlp_output                49.55 [51.0, 50.8, 48.8, 48.8, 48.5]
11       attn_output               44.70 [46.0, 45.5, 45.0, 43.5, 43.5]
12       hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
12       mlp_output                51.35 [52.5, 51.5, 51.5, 50.8, 50.5]
12       attn_output               40.75 [41.0, 41.0, 41.0, 40.5, 40.2]
13       hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
13       mlp_output                47.40 [49.8, 48.8, 46.5, 46.2, 45.8]
13       attn_output               55.10 [56.5, 56.5, 54.8, 54.0, 53.8]
14       hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
14       mlp_output                51.30 [53.8, 50.8, 50.8, 50.8, 50.5]
14       attn_output               92.90 [96.5, 94.0, 91.5, 91.5, 91.0]
15       hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
